label,centroid
19,"[ 0.05551196  0.86523988 -0.60032506 -1.16324378  0.42836502  0.25991378
 -0.47531717 -0.73485085 -0.97369324 -0.01437631 -0.41958814 -0.29275407
 -0.16847923 -0.1820163  -0.53411534  0.74811311  0.46820244 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575 -1.70100378]"
20,"[ 0.29634308  0.90338631  1.79731801  1.04307049  0.51615259 -0.31832609
 -0.32453536  0.581817    0.73941223  0.58056705  0.00708046 -0.0825735
 -0.18119558 -0.1820163  -0.48502189  0.09166609  0.39753577 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.54470444  0.58788816]"
21,"[-1.53011404e+00 -1.31260352e+00 -6.74921980e-01 -1.60900660e+00
  3.68935515e+00 -4.62151147e-01  7.55087029e+01  3.37807765e+01
 -2.07784787e+00 -1.36227771e-02  5.89946591e+01  8.19875230e+01
  2.19509234e+02  1.96453663e+00 -5.78574421e-01  9.12776515e-02
  2.88497005e+00  3.48394130e-01  3.29551661e-01  3.07686487e-01
 -1.34149712e+00 -1.20848506e+00 -1.12878080e+00]"
22,"[ 0.79662991 -0.79370336  2.05451     1.45618884  0.42244326  1.22413181
 -0.3721412   0.60043762  0.75579006 -1.00343137 -0.80318688 -0.80304799
 -0.6207022  -0.1820163  -0.5724822   2.04920292  0.61635409 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.54549352  0.56801744]"
23,"[ 0.2738702   0.92582042 -0.58374973  0.26923674 -0.66675423 -0.31849731
  0.32112193 -0.32907752 -0.74316922  0.09362122  0.30344612  0.61385427
  0.53492017  1.24901899  3.01866515 -0.72845246 -0.72024935 -0.39005495
 -0.39110882  2.4500866  -1.95883224  0.55653699  0.58788816]"
24,"[ 3.22863735e-01  9.64257630e-01  2.06331972e-01  3.41522245e-01
 -9.82876015e-02 -6.05976201e-01  4.16160005e-01  4.47238903e-01
  6.45971663e-01  1.78171453e-03  3.06300167e-01  7.16287474e-01
  3.57420719e-03 -1.82016297e-01 -5.40179872e-01 -1.53947367e-01
  4.89193194e-01 -3.90054946e-01  2.51232137e+00 -4.07582232e-01
  5.10508241e-01  5.56536986e-01  5.85557791e-01]"
25,"[-6.67618923e-01 -6.10321647e-01 -4.07143354e-01 -2.45372713e-01
 -1.71550713e-01 -1.35778907e-01  3.62751219e+01  1.67696850e+01
  1.49290179e-01  8.20901006e-02  2.83819073e+01  3.75763228e+01
  1.98698827e+01 -1.68968412e-02  2.00138929e-01 -9.62937800e-03
  1.58002474e-01 -4.92322954e-02  1.05677844e-01  1.42624475e-01
  2.25584339e-01  2.39738157e-01  1.91733788e-01]"
26,"[ 0.18602151  0.18327088  0.12256081  0.47939564 -0.19812845 -0.89362631
  2.56868424  2.26527456  0.67823163  0.00904147  2.0082478   3.02209781
  0.95587315 -0.1820163  -0.0602984  -0.59633448 -0.08605005  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.49866741  0.53577314]"
27,"[ 0.37010417  0.89182104  0.13653158  0.14554286 -0.03390167 -0.31832609
  0.05393592  0.02516103  0.59213211 -0.00505673  0.01768632  0.32584002
 -0.15013957 -0.1820163  -0.55360641  0.18030292  0.52519583 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55653699  0.5874405 ]"
28,"[ 0.21467307  0.56970695 -0.60580353 -1.39259804  1.26107158 -0.31832609
 -0.01886656 -0.51925968 -1.50479524  0.05843407 -0.00426717  0.24234514
  0.75705367  1.24901899 -0.57828673  0.2636219   2.13741413 -0.39005495
 -0.39803824  2.45349264 -1.95883224  0.55653699  0.58788816]"
