label,centroid
83,"[ 0.148461    0.24772263 -0.41295957  1.18054293 -0.74013286  1.60200704
  6.76277275  3.52290705  0.67646087 -1.00730706 -0.80318769 -0.80304912
 -0.62070795 -0.14596067  1.07049174 -0.36692116 -0.66084064 -0.39005495
 -0.39803824 -0.40758223  0.4676005   0.49315363  0.50635509]"
84,"[-1.38972648 -1.02895007 -0.43330468 -0.13449437 -0.38578648  1.68725925
  0.2869959  -0.25367924 -0.01138082 -0.98673745 -0.78683544 -0.78040931
 -0.6089732  -0.1820163  -0.57309243  2.5897014   0.61930109 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55507254 -1.70100378]"
85,"[-1.42105902 -0.82687895 -0.37699942  0.3966776  -0.54532808  1.48501882
  0.1087771  -0.29790877  0.04818112 -1.00203332 -0.80305598 -0.80286677
 -0.62024241  1.24901899  0.39224379 -0.09122889 -0.1756415  -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58574099]"
86,"[ 0.39152642  1.55566768 -0.52920542  0.68148548 -0.73159454  1.27927776
  0.37863974 -0.25757875  0.55253306 -1.00653738 -0.80478102 -0.80525509
 -0.62143213 -0.1820163   1.24753105 -0.52590899 -0.72297268 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
87,"[ 0.4887372   0.39644821  0.29717761 -0.04293316  0.24522326 -0.31832609
  0.00812058  0.17933261  0.12251907  1.28468071  0.90188925  0.25905811
  0.52838013 -0.1820163   0.6984105  -0.62145495 -0.6295437  -0.39005495
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.58788816]"
88,"[ 0.11065072  0.06739473 -0.58893901  0.24526954 -0.67450016 -0.89362631
  0.31854461 -0.3322832  -0.55346386  0.13896185  0.33545859  0.60475464
  0.42556828 -0.1820163   3.43153233 -0.75942939 -0.7907471   2.56374136
 -0.39803824 -0.40758223  0.51050824  0.55273971 -1.70100378]"
89,"[-1.43002523 -0.84281206  1.98090606 -0.09428816  1.91189478 -0.89362631
 -0.51560517  0.25743579  0.43361149  3.15177968  0.73731847 -0.28587887
  0.31485099 -0.1820163  -0.34711964 -0.51532602  0.26396964  2.56374136
  2.51232137  2.45349264  0.51050824  0.55326616  0.58470694]"
90,"[ 0.57989879 -0.78286148 -0.34976997 -0.10392734 -0.36536741  0.39252735
  0.49339698 -0.00993696  0.56781424 -0.01362278  0.37067781  0.82217656
  0.0591897  -0.1820163  -0.04636852 -0.23911897 -0.41880901 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.5560604   0.58788816]"
91,"[ 0.40417119  0.40586246 -0.39830578  1.25330921 -0.74882484  2.34115581
  0.15549659 -0.26771752  0.31806273 -1.00772263 -0.80502296 -0.80559007
 -0.6215419  -0.1820163   1.01899154 -0.32300914 -0.68728806 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.57806783]"
92,"[ 0.22596357  0.95033993 -0.42651697  0.24107179 -0.5591314   2.15504105
  0.2693855  -0.25451094  0.59814083 -1.00091836 -0.80259287 -0.80222558
 -0.62022384 -0.1820163  -0.57593143  3.1881201   0.63301172 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
93,"[-1.50049432 -1.00520447 -0.14175614  0.13818641 -0.29142647 -0.31832609
 -0.0608835  -0.22860246  0.55190835  0.25795477  0.07473262  0.20393931
 -0.10940472 -0.1820163   0.63766974 -0.63388761 -0.64744996 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55653699  0.58635508]"
94,"[ 2.03767897e-01  3.17693686e-01 -6.74921980e-01 -1.07376383e+00
  2.07267280e-01 -3.06759828e-02  7.37862530e+01  3.29976782e+01
 -8.61343894e-01 -1.36227771e-02  5.76482292e+01  8.01233806e+01
  6.54576145e+01  1.07013958e+00  1.00230918e-03 -1.46248360e-01
  5.52475930e-01 -2.08304078e-02 -3.42432912e-02 -4.99478726e-02
 -4.15494440e-01 -9.14314722e-01 -8.42669304e-01]"
95,"[ 0.04009267 -0.08682058 -0.49180064 -0.81722495  0.19581052  0.14573901
  0.65976073  0.09935214 -1.71603285  0.15790717  0.88801865  1.26002206
  3.20298313  5.45086478  1.15045684 -0.61223318 -0.19692382 -0.38203922
 -0.38224253 -0.39205401 -1.95883224 -1.79682575 -1.68236966]"
96,"[-0.02031764 -0.02008532 -0.51826342 -1.55900353  3.6907468  -0.89362631
 -0.46616068 -0.69360784 -1.9500225   0.24814796 -0.28882007 -0.24270565
  0.87787731 -0.17996434 -0.57148276 -0.42911509  0.63711017  2.56374136
 -0.39803824 -0.40758223  0.50838377 -1.79615085 -1.69969097]"
97,"[ 0.36369131  1.0114458  -1.18808113 -0.28979429 -1.13470613 -1.18127642
 -0.99256964 -0.98514699 -0.39418563 -0.96740645 -0.7805632  -0.77172534
 -0.60270305 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699 -1.70100378]"
98,"[-8.46274890e-01 -1.08244391e+00 -6.74921980e-01 -1.57878112e+00
  3.26117737e+00 -6.73658580e-01  2.03544612e+01  1.05437405e+01
 -1.99197700e+00 -1.36227771e-02  1.90417727e+01  2.66724489e+01
  6.30580104e+01  9.12304802e-01 -6.05848620e-01 -1.62760864e-01
  1.78732576e+00  6.52461397e-01  1.15554630e-01  9.73133341e-02
 -1.08730031e+00 -1.38152644e+00 -1.29708168e+00]"
99,"[-1.48244126 -0.77214643 -0.04191228  0.10514931 -0.15617665  0.23742689
 -0.0892416  -0.15832408  0.05740066  0.2181596   0.07413065  0.22918222
 -0.01188461 -0.1820163   0.23993849 -0.42076095 -0.54092749 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55426321 -1.70100378]"
100,"[-0.03194058  1.00642426 -0.63813337 -1.32935109  0.88610011 -0.6059762
  0.48307677 -0.30112942 -1.32679728  0.01136119  0.36620209  0.78652223
  1.14170684 -0.1820163  -0.56677362 -0.08847271  0.63064396 -0.39005495
  2.51232137 -0.40682633  0.51050824  0.55653699 -1.70100378]"
101,"[-0.07913563 -0.51595859 -1.20997688 -1.7727625  -1.16332641 -1.18090849
 -0.99185444 -0.99945277 -2.54307999 -1.008103   -0.80516002 -0.80577982
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38929931
 -0.39729372 -0.40709429 -1.95883224 -1.79682575 -1.70100378]"
102,"[-1.48233207 -1.08747814  0.0784075  -0.28356453  0.25865561 -0.6059762
  0.05156337 -0.03921967  0.31676215  0.3332766   0.20963773  0.30763694
  0.03772637 -0.1820163  -0.52288992 -0.17517482  0.44333363 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55455437  0.58788816]"
103,"[-1.49619997  0.81852424 -0.49980442  1.035395   -0.76637178  1.52600145
  0.46107049 -0.18940808  0.63910759 -1.00327895 -0.80380924 -0.80390966
 -0.62092229 -0.1820163   1.55714973 -0.53449213 -0.73857279 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55493551  0.58555176]"
104,"[ 0.68675045  0.01111987  0.38374598  1.10561962 -0.27376509  0.15411916
 -0.04957446  0.11075011  0.29005369  0.18070106  0.04349461  0.20989275
 -0.08668245 -0.1820163   0.4351589  -0.48962789 -0.5824825  -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.57268968]"
105,"[ 0.39524419  0.8319253   0.96306753  0.75797584  0.20463706  0.32963872
 -0.33054313  0.15239225  0.73639942  0.03930761 -0.26225072 -0.08484078
 -0.32615783 -0.1820163  -0.57313351  1.00302334  0.61949949 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
106,"[ 0.21676389  0.53146458  0.32448512 -0.64075408  0.98934493  0.03097241
 -0.20745961 -0.03791866  0.0242366   1.33236336  0.61213421  0.05397374
  0.36710413 -0.1820163  -0.4805014   0.44819902  0.40971628 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58788816]"
107,"[-0.14894717 -0.15115387  3.18305559  1.03558373  1.29785101 -0.30671453
  1.50944598  8.07849499  0.61944278  1.37265093  3.67798142  1.94875459
  1.91836267 -0.09799221 -0.4659912   0.08650506  0.46365325  0.14650622
  0.34957707  0.58985671  0.37005034  0.35790454  0.4240959 ]"
108,"[ 0.35016398  0.77857778  1.90963533  0.680041    0.85548518  0.09008993
 -0.44044522  0.39163717  0.77342675  1.28029884  0.18515488 -0.19781964
 -0.08969212 -0.18117894 -0.54678644  0.64053944  0.53471495 -0.39005495
 -0.39803824 -0.40758223  0.50906334  0.55653699  0.58453987]"
109,"[-1.48606545 -1.11603805 -1.19413486 -0.32357376 -1.14308957 -1.18127642
 -0.99256964 -0.9938876   0.54916854 -0.97865822 -0.79559149 -0.79253212
 -0.616299   -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
110,"[ 0.15494519  0.89373203  0.21419134  0.31513822 -0.06558744 -0.89362631
  0.75595697  0.81213681  0.63321813 -0.01307585  0.56104523  1.08512395
  0.15738583 -0.1820163  -0.45183182 -0.50358857  0.31468456  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.5500717   0.57468302]"
111,"[-1.45745146 -0.72166882 -0.43706487 -0.02111467 -0.43824602 -0.6059762
  0.1867804  -0.29861364 -0.51308307  0.24191842  0.28574856  0.46153744
  0.36460238 -0.1820163   2.15814263 -0.72797734 -0.75093513 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55320833 -1.69776631]"
112,"[ 0.35288086  1.0104741  -1.20074183 -0.22343423 -1.15323768 -1.1810303
 -0.9925644  -0.99509447 -0.06836545 -0.99093827 -0.79766653 -0.79540503
 -0.61673146  1.24901899 -0.73286374 -0.77241635 -0.84694071 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
113,"[-1.33742495 -0.97197274 -0.61552862 -1.37111731  1.17188123 -0.31832609
  0.09149963 -0.46650801 -1.44580175  0.0438413   0.0792604   0.36250352
  0.83438671  1.24901899 -0.56859563  0.23085894  2.04303977 -0.39005495
 -0.39803824  2.45349264 -1.95883224  0.55653699  0.58701885]"
114,"[-1.49940244 -1.00440336 -0.40893932 -0.20621823 -0.31928338  1.61506463
  0.19249155 -0.27778887 -0.1699519  -0.97899403 -0.78272224 -0.77471455
 -0.60578572 -0.1820163  -0.57375433  2.51401111  0.62249769 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.55872053]"
115,"[ 0.35658993  0.93636733 -0.60748375  1.48067138 -0.87531555  2.22353199
  0.61414838 -0.20066989  0.7879466  -1.00884357 -0.80586826 -0.80676039
 -0.6221081  -0.1820163   1.691873   -0.50462451 -0.74975762 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
116,"[ 0.66764616 -0.7093951  -0.48600496 -0.34330304 -0.37989167  1.07666633
  0.07533697 -0.39490796  0.42861461 -1.00691036 -0.80514303 -0.8057563
 -0.62167237 -0.1820163  -0.57720981  1.92203794  0.63918545 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
117,"[ 0.04452865  0.03344901 -0.61476026  0.73141118 -0.78108338  0.19593824
  2.76664677  0.84675627  0.2458355   0.02145789  2.20577472  3.25538843
  1.35001549 -0.17991492  2.89060224 -0.69645143 -0.7789086  -0.39005495
 -0.39803824 -0.1429013   0.50688219  0.09519495 -0.10953486]"
118,"[ 0.28312577  0.5653742   3.12849429  1.56091978  0.87097571  1.23869611
 -0.4529606   0.87884139  0.73624412 -1.00725281 -0.80542739 -0.80615001
 -0.6218695  -0.1820163  -0.57320105  2.08271926  0.62062823 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.53123201  0.53374233]"
119,"[ 0.33257902  0.37612616  0.58157113 -0.08215076  0.53286674  0.18043322
  0.4973182   1.09999929  0.64980101  1.14275306  1.71698851  0.83690852
  0.79711743 -0.18109985 -0.55823449  0.75546269  0.55017555 -0.39005495
 -0.39803824 -0.40758223  0.50892685  0.52564109  0.58788816]"
120,"[-1.30573072 -0.75472147 -1.17255683 -0.97859581 -1.09455755 -1.17462555
 -0.99032393 -0.98125901 -1.40947386 -0.94070988 -0.77547642 -0.76468266
 -0.58633051  4.76973802 -0.728438   -0.77147557 -0.84396448 -0.39005495
 -0.39803824 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
121,"[ 0.5865624   0.30192349 -0.4758207   0.84416004 -0.72281452 -0.3184389
  0.32015933 -0.23280012  0.38683689  0.18936359  0.38179714  0.61152121
  0.10396604 -0.1820163   3.42794481 -0.73303125 -0.79023605 -0.39005495
 -0.39689693  2.45349264  0.51050824  0.55376832  0.58788816]"
122,"[ 0.72674524 -0.82514719  0.16920963  0.54747587 -0.21671218 -0.89362631
  0.34083627  0.37757982  0.63099708  0.01754973  0.25495772  0.63465061
 -0.02065117 -0.1820163  -0.10124323 -0.6066915  -0.13080043  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.5550431   0.58401361]"
123,"[-1.48939816 -1.11629557  0.36578341  0.89610274 -0.22640078  1.22316826
  0.16080029  0.28318368  0.77407736 -0.9960908  -0.79703359 -0.79452872
 -0.61739602 -0.1820163  -0.57443174  2.06063902  0.62576915 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55579048  0.58643605]"
124,"[ 0.17280572  0.1116184  -0.59652626 -0.59086217 -0.29321582 -0.31851534
  0.06610875 -0.46309802 -0.67038478  0.06136071  0.07285976  0.33943895
  0.26932385  2.68240795  1.30830372 -0.6863907  -0.474892   -0.39005495
 -0.39612353  2.45349264 -1.95883224 -1.79682575  0.58412354]"
125,"[ 0.0055757   0.05567358  0.93008311  0.22991877  0.58732283 -0.60687138
  1.94857748  3.55569088  0.60148952  1.49911727  4.54034085  2.26928565
  2.44942888 -0.12412172 -0.12132606 -0.3581975   0.0824926  -0.38086263
  2.51232137 -0.40758223  0.41060754  0.55409574  0.32670755]"
126,"[ 0.62855391  0.15220464  0.8947429  -0.25928842  1.12770563 -0.89362631
 -0.3438437   0.06852118 -0.12268031  1.8735464   0.61692042 -0.10708439
  0.44399375 -0.1820163  -0.12529183 -0.58049367 -0.01760541  2.56374136
  2.51232137 -0.40758223  0.51050824  0.55310142 -1.70100378]"
127,"[ 0.25651953  0.03153558 -0.54360041  0.7252971  -0.74596424 -0.89362631
  0.36416508 -0.26391625  0.40681984  0.18273285  0.41406359  0.65934226
  0.11887693 -0.1820163   3.67800646 -0.760043   -0.79339838  2.56374136
 -0.39803824 -0.31547914  0.51050824  0.55653699  0.58788816]"
128,"[-1.4226494  -1.02603554 -0.41333961 -1.15515822  0.90607295 -0.31868588
 -0.04306516 -0.38928483 -1.23337044  0.25530706  0.10672914  0.23882059
  0.66558679  2.68005427 -0.04010088 -0.40340516  0.74764829 -0.38820767
 -0.39803824  2.45349264 -1.95883224 -1.79682575  0.58788816]"
129,"[ 0.77778281 -0.59319852 -0.15432211 -0.8932014   0.86834712  0.36743712
 -0.34804525 -0.43525627 -0.87436775  0.28523307 -0.11572092 -0.03027496
  0.17002159  1.24901899 -0.5544741   0.92874153  1.90926731 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.66904098]"
130,"[ 0.61854177 -0.03444103  1.06899727  0.3816062   0.53946126 -0.31801241
 -0.30555653  0.21887154 -0.01469958  1.11856558  0.3087252  -0.0695269
  0.18331819  1.27086685  0.12172113 -0.51447754 -0.10000937 -0.39005495
 -0.39803824  2.4503726  -1.95883224  0.52060778  0.57915193]"
131,"[ 0.40867838  0.37347458  0.11829377 -0.16712812  0.19617494 -0.6059762
  0.0783443   0.03380363  0.06790699  0.20419456  0.17113787  0.33589563
  0.05980528  1.24901899 -0.57016333 -0.10027085  2.05733132 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.55653699  0.58788816]"
132,"[ 0.34136383  0.94827062 -0.0896325  -0.40044286  0.19858499 -0.89362631
  0.01669637 -0.18466373 -0.1941191   0.36704975  0.20830475  0.26053718
  0.16379521 -0.1820163   0.01622235 -0.6023357  -0.11197996  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58617407]"
133,"[ 7.14975463e-01 -6.30197160e-01  2.77062404e-01  2.33696320e-01
  2.57251692e-02 -6.05976201e-01 -5.12157312e-02  4.03526233e-02
  5.77640810e-01  2.33330310e-03 -6.30345130e-02  2.11640010e-01
 -1.93886507e-01 -1.82016297e-01 -5.45491143e-01 -1.45838328e-01
  5.06711878e-01 -3.90054946e-01  2.51232137e+00 -4.07582232e-01
  5.10508241e-01  5.55956626e-01  5.87323702e-01]"
134,"[ 6.51605320e-01 -6.86415159e-01  7.77081458e-02  1.18171834e+00
 -4.80039372e-01  3.87681656e-01  3.07948633e-01  3.09573434e-01
  7.56957050e-01  2.08547223e-04  2.33849787e-01  6.16218042e-01
 -5.97531334e-02 -1.82016297e-01  5.35834974e-01 -5.08566071e-01
 -6.35343439e-01 -3.90054946e-01 -3.98038243e-01 -4.07582232e-01
  5.10508241e-01  5.56536986e-01  5.87888163e-01]"
135,"[ 0.4440698   0.2107333   1.67115333  0.00430408  1.45120207 -0.89362631
 -0.05813678  1.1450735   0.59549851  2.60111725  1.74816702  0.18834309
  0.84495419 -0.1820163  -0.39153897 -0.51330038  0.27272199  2.56374136
 -0.39803824  2.45349264  0.51050824  0.53909544  0.58546477]"
136,"[ 0.65317746  0.07365451  0.7031062  -0.20503021  0.78049424 -0.89362631
 -0.37959887 -0.08540378  0.04268342  1.48170231  0.34116852 -0.15222645
  0.16948083 -0.1820163  -0.19095788 -0.57703167 -0.00264685  2.56374136
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.58788816]"
137,"[-0.03149756 -0.15328106  0.87541106 -0.94647238  2.78991385 -0.89362631
  0.31309444  1.1099182  -0.38121799  2.62819822  2.61522807  0.53856231
  2.25500411 -0.1820163  -0.50766381 -0.46529605  0.48013806  2.56374136
 -0.38697224 -0.40032982  0.51050824 -1.62681095 -1.36738835]"
138,"[-0.1583994  -0.05690535 -0.62812572 -1.40696544  1.60851273  1.71477371
  0.43501616 -0.31009486 -2.25737079 -0.94621932 -0.75925376 -0.74222226
 -0.45018406 12.12766585 -0.57632364  2.67492334 13.35266016 -0.39005495
 -0.39803824 -0.39369352 -1.95883224 -1.79682575 -1.70100378]"
139,"[ 0.49845399  0.89454337  0.13090762  1.05996307 -0.41850597  0.35647173
 -0.09199583 -0.01860467  0.68064008  0.0553867  -0.05725806  0.17656572
 -0.20746787 -0.1820163   1.10081876 -0.60533495 -0.71201631 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
140,"[ 0.57305797 -0.69149384  0.11301995  0.30258123 -0.13273683 -0.31832609
  0.5772873   0.50028478  0.64301134 -0.00903073  0.42504054  0.89155736
  0.07387338 -0.1820163  -0.52241293  0.11987456  0.4381633  -0.39005495
 -0.39803824  2.45349264  0.51050824  0.54233998  0.58788816]"
141,"[-0.26038262 -0.26827501  0.70558279 -1.04095614  2.9860696  -0.60576926
 -0.43898003 -0.16374911 -0.92295676  1.86477344  0.41319242 -0.19653378
  0.77841508  1.25004851 -0.54733009 -0.11914751  1.97576943 -0.39005495
  2.51022759  2.45349264 -1.95883224  0.55484392  0.58459479]"
142,"[-1.47102178 -0.80373041  1.54694135  0.25852531  1.00903725 -0.89362631
 -0.3729082   0.31082787  0.65429673  1.62766342  0.41648515 -0.15580995
  0.06394986 -0.18157665 -0.47672561 -0.4815506   0.41036437  2.56374136
 -0.39803824 -0.40758223  0.50974961  0.539185    0.5752307 ]"
143,"[-0.10518443 -0.20047645 -0.57649524 -0.11171558 -0.51753031  1.2456742
  0.38560545 -0.2812437  -1.04118921 -0.96666436 -0.78866454 -0.78294171
 -0.60506925 -0.1820163   1.42122637 -0.47773471 -0.7001477  -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79523564 -1.70100378]"
144,"[ 0.51045903  0.42903176 -1.20891701  1.18448659 -1.16242126 -1.18127642
 -0.99256964 -0.99916601  0.67078657 -1.00613309 -0.80466698 -0.80509721
 -0.62142088 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
145,"[ 0.21732292  0.40370634 -0.49184884 -1.2185828   0.99233829  0.22713287
 -0.08109941 -0.46254636 -1.3523591   0.08400002 -0.03654896  0.14869469
  0.55253745  4.91016538 -0.39966351  0.03204712  2.41833018 -0.39005495
 -0.39803824 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
146,"[ 0.85329559 -0.70558112  0.41860893 -0.39782867  0.83721083 -0.89362631
 -0.29115552 -0.1521861  -0.21291075  0.97499806  0.20336105 -0.07394901
  0.16558278 -0.1820163  -0.37029947 -0.52617845  0.21707866  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.55332494 -1.70100378]"
147,"[ 0.12092078  0.98258832  0.20605602 -0.4910039   0.67643933 -0.6059762
 -0.08517326 -0.068762   -0.15747096  0.84579082  0.39302822  0.12534699
  0.28884625 -0.1820163  -0.45572127 -0.2223278   0.34146482 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.5541315  -1.70100378]"
148,"[-1.37283439 -0.90380313 -0.49900143 -1.08985487  0.43959212 -0.31832609
  0.29847977 -0.28375736 -0.77859093  0.06027258  0.25397284  0.58179495
  0.48876402 -0.1820163  -0.55817722  0.22092949  0.58370864 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55653699  0.58788816]"
149,"[ 0.01927302 -0.02239906  0.59587988 -1.01043735  2.58418981 -0.6059762
 -0.46092796 -0.29611607 -0.8106963   1.81786016  0.26242893 -0.27462575
  0.51193345  1.24901899 -0.53204538 -0.14966421  1.84391349 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.55653699 -1.69648028]"
150,"[-0.09026063  0.09328175 -0.34277067 -0.21678787 -0.26172685 -0.04646358
  6.51381701  2.89122208  0.38774263  0.09236531  5.25320756  7.01241784
  3.18046076 -0.09719093  0.05524882 -0.08763353 -0.08239749 -0.08527245
 -0.0721802   0.05722466  0.37768971  0.27237683  0.22608746]"
151,"[ 0.30533588  0.94950463  0.33059637  1.58487214 -0.44851172  2.39087306
  0.4168709   0.58604979  0.82452388 -1.00419677 -0.80345868 -0.80342431
 -0.62083914 -0.1820163  -0.57635577  3.47096747  0.63506102 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58576833]"
152,"[-1.44735896 -0.97148124 -0.67436391 -1.6090066   3.69441179 -1.17897842
 -0.99098593 -0.65096418 -2.07784787 -0.01258553 -0.20598184  0.02323092
  1.58645862 -1.60957216 -0.73291348 -0.7723633  -0.84689091 -0.38902897
 -0.39702735 -0.40360714 -1.95711683 -1.79600832 -1.70020875]"
153,"[ 0.38320416  0.49757704 -0.32939528 -1.11428231  0.87219589 -0.31832609
  0.10629188 -0.30145247 -0.9384597   0.25637179  0.21725122  0.37049772
  0.53456328 -0.1820163  -0.53696987  0.17585904  0.51879549 -0.39005495
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.58632631]"
154,"[ 0.16460567  0.10693152 -0.59387051  0.6419446  -0.75630403  0.15199718
  0.25763096 -0.3673775  -0.18993469  0.07446949  0.2420439   0.5488451
  0.19957884 -0.1820163   3.28117159 -0.70990762 -0.7881568  -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58788816]"
155,"[-0.02672329  0.58879969 -1.20773518 -0.48157632 -1.15974651 -1.18127642
 -0.99256964 -0.99918381  0.53732403 -1.00393647 -0.80469758 -0.80513958
 -0.62144097 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
156,"[-1.49579307 -0.95087219 -0.42916665  0.30414277 -0.54954917  1.53503827
  0.0383292  -0.36577299 -0.04541663 -0.99909022 -0.80063353 -0.79951287
 -0.61831649 -0.1820163   0.37559628 -0.08017697 -0.51823867 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.58085083]"
157,"[ 0.31467978  0.13923451  0.42113335  0.14485289  0.22078964 -0.89362631
  1.10463851  1.66000593  0.65121463  1.27189176  2.74224268  1.3895918
  1.37488469 -0.1820163   0.26934314 -0.65182807 -0.32582555  2.56374136
 -0.39803824 -0.40758223  0.51050824  0.40687396  0.56954952]"
158,"[-0.32717328 -0.06028802 -0.55816542 -1.55315871  3.50632002  0.20026207
  0.58487446 -0.12300725 -1.98145002  0.14394511  0.64974465  0.93795583
  3.90482827  5.21929413 -0.57388653  0.85496318  6.14223728 -0.38725514
 -0.39803824 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
159,"[ 0.14655998  0.06208247 -0.62803524  0.82743944 -0.80659251  0.62424028
  0.09763176 -0.47645493 -0.17642371 -0.51593062 -0.38410911 -0.22991654
 -0.29997899  1.24901899  3.23030678 -0.68428721 -0.72797099 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
160,"[ 0.05368656  1.02480992 -0.51350704 -0.25709211 -0.42305023  1.59509418
  0.18251529 -0.36116093 -0.04944317 -0.98076062 -0.78416969 -0.77671855
 -0.60767372 -0.1820163  -0.57522588  2.5126353   0.62960433 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.57576596]"
161,"[ 0.6371451   0.0743342   2.37519337  0.15030235  1.82173851 -0.89362631
 -0.60148994  0.14568632  0.61239666  2.97837285  0.38900201 -0.39120965
  0.05559433 -0.18126431 -0.47632364 -0.47378206  0.44425633  2.56374136
 -0.39803824  2.45349264  0.50921064  0.55653699  0.5854826 ]"
162,"[ 0.7295888  -0.056955    1.62021953  0.24761252  1.17331371 -0.31832609
 -0.44409449  0.23018074  0.07310731  1.36103935  0.19585075 -0.20559075
  0.0638128  -0.1820163  -0.47213511  0.10124182  0.41132732 -0.39005495
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.58788816]"
163,"[-0.06729577 -0.24537885  1.89050388  0.09039329  1.56343799 -0.66808748
  2.25002069  6.82039551  0.48780186  2.74853655  8.64047746  2.85261775
  5.04064625 -0.09216569 -0.23751467 -0.35642762  0.23791638  1.10267519
  1.14850814  1.11715599  0.35924696  0.28263872  0.33200897]"
164,"[ 0.45704811  0.26632037 -0.67492198 -0.40548211 -0.52718076 -1.18127642
 -0.99256964 -0.4371026   0.65362792 -0.01362278  0.16172372  0.53287804
 -0.07991666 -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
165,"[ 0.48011169 -0.05712042  1.37435084  1.60039771  0.03545099  1.22165274
  0.5805204   2.18629837  0.78379517 -1.00625751 -0.80483701 -0.80533262
 -0.62157528 -0.17935267 -0.0388228   0.09746643 -0.39327951 -0.39005495
 -0.39803824 -0.40758223  0.50591198  0.54339583  0.57084662]"
166,"[-1.48672332 -1.0397376   0.24587392  0.25735248 -0.01510494 -0.31832609
  0.11727844  0.15977893  0.63861066  0.02954927  0.09134613  0.39274763
 -0.11811392 -0.1820163  -0.54282432  0.16525517  0.50352316 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55155808  0.58546691]"
167,"[ 0.17006584 -0.15624608  2.79216062  0.74222865  1.36028989 -0.60947067
  0.15324524  2.55502622  0.67468683  2.0293943   1.79258535  0.42131037
  0.8222945  -0.14907687 -0.45821219 -0.20573124  0.40798231 -0.35417123
  2.51232137 -0.40392357  0.4536692   0.55653699  0.33763207]"
